Year,Jurisdiction,All students,Average scale score,below Basic,at Basic,at Proficient,at Advanced
1996,Louisiana,All students,—,—,—,—,—
1996,Mississippi,All students,—,—,—,—,—
1996,Oklahoma,All students,—,—,—,—,—
1996,Utah,All students,—,—,—,—,—
1996¹,National,All students,272,38,39,20,4
1996¹,National public,All students,271,39,38,19,4
1996¹,National private,All students,284,25,42,28,6
1996¹,Large city,All students,—,—,—,—,—
1996¹,Arizona,All students,268,43,40,16,2
1996¹,Florida,All students,264,46,37,15,2
1996¹,Indiana,All students,276,32,44,21,3
1996¹,Louisiana,All students,252,62,31,7,#
1996¹,Mississippi,All students,250,64,28,7,#
1996¹,Oklahoma,All students,—,—,—,—,—
1996¹,Utah,All students,277,30,45,22,3
1992¹,National,All students,268,42,37,18,3
1992¹,National public,All students,267,44,36,17,3
1992¹,National private,All students,281,29,41,26,5
1992¹,Large city,All students,—,—,—,—,—
1992¹,Arizona,All students,265,45,40,14,1
1992¹,Florida,All students,260,51,34,13,1
1992¹,Indiana,All students,270,40,40,17,3
1992¹,Louisiana,All students,250,63,29,7,#
1992¹,Mississippi,All students,246,67,27,6,#
1992¹,Oklahoma,All students,268,41,43,16,1
1992¹,Utah,All students,274,33,44,20,2
1990¹,National,All students,263,48,37,13,2
1990¹,National public,All students,262,49,36,13,2
1990¹,National private,All students,271,37,46,16,1
1990¹,Large city,All students,—,—,—,—,—
1990¹,Arizona,All students,260,52,35,11,1
1990¹,Florida,All students,255,57,31,11,1
1990¹,Indiana,All students,267,44,40,14,3
1990¹,Louisiana,All students,246,68,26,5,1
1990¹,Mississippi,All students,—,—,—,—,—
1990¹,Oklahoma,All students,263,48,39,12,1
1990¹,Utah,All students,—,—,—,—,—
,,,,,,,
— Not available.,,,,,,,
# Rounds to zero.,,,,,,,
‡ Reporting standards not met.,,,,,,,
¹ Accommodations were not permitted for this assessment.,,,,,,,
NOTE: Some apparent differences between estimates may not be statistically significant.,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 1990, 1992, 1996, 2000, 2003, 2005, 2007, 2009, 2011, 2013, 2015, and 2017 Mathematics Assessments.",,,,,,,
