Year,Jurisdiction,All students,Average scale score,below Basic,at Basic,at Proficient,at Advanced
2005,Utah,All students,221,32,34,27,8
2003,National,All students,218,37,32,24,8
2003,National public,All students,216,38,32,23,7
2003,National private,All students,235,20,32,33,14
2003,Large city,All students,204,53,28,15,4
2003,Arizona,All students,209,46,31,19,4
2003,Florida,All students,218,37,31,24,8
2003,Indiana,All students,220,34,33,25,8
2003,Louisiana,All students,205,51,29,16,4
2003,Mississippi,All students,205,51,30,15,3
2003,Oklahoma,All students,214,40,34,21,5
2003,Utah,All students,219,34,34,25,7
2002,National,All students,219,36,32,24,7
2002,National public,All students,217,38,32,23,6
2002,National private,All students,234,20,32,34,13
2002,Large city,All students,202,56,27,14,3
2002,Arizona,All students,205,49,29,17,4
2002,Florida,All students,214,40,33,22,5
2002,Indiana,All students,222,32,34,26,7
2002,Louisiana,All students,207,50,30,16,4
2002,Mississippi,All students,203,55,30,13,2
2002,Oklahoma,All students,213,40,34,22,4
2002,Utah,All students,222,31,36,26,6
2000,National,All students,213,41,30,23,7
2000,National public,All students,211,43,30,21,6
2000,National private,All students,231,22,33,33,12
2000,Large city,All students,—,—,—,—,—
2000,Arizona,All students,—,—,—,—,—
2000,Florida,All students,—,—,—,—,—
2000,Indiana,All students,—,—,—,—,—
2000,Louisiana,All students,—,—,—,—,—
2000,Mississippi,All students,—,—,—,—,—
2000,Oklahoma,All students,—,—,—,—,—
2000,Utah,All students,—,—,—,—,—
2000¹,National,All students,217,37,31,24,8
2000¹,National public,All students,215,40,31,22,7
2000¹,National private,All students,234,20,32,34,14
2000¹,Large city,All students,—,—,—,—,—
2000¹,Arizona,All students,—,—,—,—,—
2000¹,Florida,All students,—,—,—,—,—
2000¹,Indiana,All students,—,—,—,—,—
2000¹,Louisiana,All students,—,—,—,—,—
2000¹,Mississippi,All students,—,—,—,—,—
2000¹,Oklahoma,All students,—,—,—,—,—
2000¹,Utah,All students,—,—,—,—,—
1998,National,All students,215,40,30,22,7
1998,National public,All students,213,42,30,21,6
1998,National private,All students,232,22,32,32,14
1998,Large city,All students,—,—,—,—,—
1998,Arizona,All students,206,49,29,18,4
1998,Florida,All students,206,47,31,18,4
1998,Indiana,All students,—,—,—,—,—
1998,Louisiana,All students,200,56,27,14,3
1998,Mississippi,All students,203,53,30,14,3
1998,Oklahoma,All students,219,34,36,25,5
1998,Utah,All students,216,38,34,23,5
1998¹,National,All students,217,38,32,24,7
1998¹,National public,All students,215,39,31,23,6
1998¹,National private,All students,233,22,32,32,14
1998¹,Large city,All students,—,—,—,—,—
1998¹,Arizona,All students,207,47,30,17,5
1998¹,Florida,All students,207,46,31,18,5
1998¹,Indiana,All students,—,—,—,—,—
1998¹,Louisiana,All students,204,52,29,15,3
1998¹,Mississippi,All students,204,52,30,15,3
1998¹,Oklahoma,All students,220,34,36,25,5
1998¹,Utah,All students,215,38,35,23,5
1994¹,National,All students,214,40,31,22,7
1994¹,National public,All students,212,41,30,21,7
1994¹,National private,All students,231,23,34,31,13
1994¹,Large city,All students,—,—,—,—,—
1994¹,Arizona,All students,206,48,28,18,6
1994¹,Florida,All students,205,50,28,17,5
1994¹,Indiana,All students,220,34,33,25,7
1994¹,Louisiana,All students,197,60,26,12,2
1994¹,Mississippi,All students,202,55,27,14,4
1994¹,Oklahoma,All students,—,—,—,—,—
1994¹,Utah,All students,217,36,34,24,6
1992¹,National,All students,217,38,34,22,6
1992¹,National public,All students,215,40,33,21,6
1992¹,National private,All students,232,21,34,33,12
1992¹,Large city,All students,—,—,—,—,—
1992¹,Arizona,All students,209,46,34,18,3
1992¹,Florida,All students,208,47,31,18,3
1992¹,Indiana,All students,221,32,38,25,6
1992¹,Louisiana,All students,204,54,31,13,2
1992¹,Mississippi,All students,199,59,28,12,2
1992¹,Oklahoma,All students,220,33,38,25,4
1992¹,Utah,All students,220,33,37,25,5
,,,,,,,
— Not available.,,,,,,,
‡ Reporting standards not met.,,,,,,,
¹ Accommodations were not permitted for this assessment.,,,,,,,
NOTE: Some apparent differences between estimates may not be statistically significant.,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 1992, 1994, 1998, 2000, 2002, 2003, 2005, 2007, 2009, 2011, 2013, 2015, and 2017 Reading Assessments.",,,,,,,
